date,temperature,vendas
2024-01-01,22.1,118
2024-01-02,22.5,121
2024-01-03,23.0,125
2024-01-04,23.4,129
2024-01-05,23.8,133
2024-01-06,24.0,136
2024-01-07,24.3,139
2024-01-08,24.6,142
2024-01-09,25.0,147
2024-01-10,25.2,149
2024-01-11,25.5,152
2024-01-12,25.9,156
2024-01-13,26.1,158
2024-01-14,26.4,161
2024-01-15,26.7,165
2024-01-16,27.0,168
2024-01-17,27.3,171
2024-01-18,27.6,174
2024-01-19,27.9,178
2024-01-20,28.1,180
2024-01-21,28.4,183
2024-01-22,28.7,186
2024-01-23,29.0,189
2024-01-24,29.2,191
2024-01-25,29.5,194
2024-01-26,29.8,197
2024-01-27,30.0,200
2024-01-28,30.2,202
2024-01-29,30.5,205
2024-01-30,30.8,208
2024-01-31,31.0,210
2024-02-01,22.3,120
2024-02-02,22.7,123
2024-02-03,23.1,127
2024-02-04,23.6,131
2024-02-05,24.0,135
2024-02-06,24.4,138
2024-02-07,24.8,141
2024-02-08,25.1,145
2024-02-09,25.4,148
2024-02-10,25.8,152
2024-02-11,26.2,156
2024-02-12,26.6,160
2024-02-13,26.9,163
2024-02-14,27.2,167
2024-02-15,27.6,170
2024-02-16,27.9,174
2024-02-17,28.3,178
2024-02-18,28.6,181
2024-02-19,29.0,185
2024-02-20,29.3,188
2024-02-21,29.7,192
2024-02-22,30.0,195
2024-02-23,30.3,198
2024-02-24,30.7,202
2024-02-25,31.0,205
2024-02-26,31.3,208
2024-02-27,31.6,211
2024-02-28,31.9,214
2024-02-29,32.2,217
2024-03-01,32.5,220
2024-03-02,22.0,115
2024-03-03,22.4,119
2024-03-04,22.8,122
2024-03-05,23.2,126
2024-03-06,23.7,130
2024-03-07,24.1,134
2024-03-08,24.5,137
2024-03-09,25.0,142
2024-03-10,25.4,146
2024-03-11,25.8,150
2024-03-12,26.2,154
2024-03-13,26.7,159
2024-03-14,27.1,163
2024-03-15,27.5,167
2024-03-16,28.0,172
2024-03-17,28.4,176
2024-03-18,28.8,180
2024-03-19,29.2,184
2024-03-20,29.7,189
2024-03-21,30.1,193
2024-03-22,30.5,197
2024-03-23,30.9,201
2024-03-24,31.3,205
2024-03-25,31.7,209
2024-03-26,32.1,213
2024-03-27,32.5,217
2024-03-28,32.9,221
2024-03-29,33.2,224
2024-03-30,33.5,227
2024-03-31,33.8,230
